Descriptor,State Average Performance (%),National Average Performance (%)
Listens and Comprehends four to five texts of varying lengths correctly,89,84

Descriptor,State Average Performance (%),National Average Performance (%)
Correctly identifies at least one initial sound in grade level words,97,98
Correctly identifies at least one final sound in grade level words,93,96
Not able to identify the initial sound and final sound in any of the given grade level words,2,2

Descriptor,State Average Performance (%),National Average Performance (%)
Reads 80-100 letters correctly and fluently,66,82
Reads 50-79 letters correctly/reads some letters with self correction,19,13
Reads 10-49 letters correctly/hesitantly  with self correction,13,4
Reads less than 10 letters correctly/hesitantly  with self correction,2,1

Descriptor,State Average Performance (%),National Average Performance (%)
Reads 80% and more words  correctly and fluently,41,60
Reads 50% to Less than 80% words correctly (with self correction wherever needed),26,24
Reads 10% to less than 50% words correctly (with self correction wherever needed),21,8
Reads less than 10% words correctly (with self correction wherever needed),12,7

Descriptor,State Average Performance (%),National Average Performance (%)
Reads 80% and more words  correctly and fluently,49,67
Reads 50%  to Less than 80% words correctly (with self correction wherever needed),23,20
Reads 10% to less than 50% words correctly (with self correction wherever needed),18,7
Reads less than 10% words correctly (with self correction wherever needed),10,6

Descriptor,State Average Performance (%),National Average Performance (%)
Reads and Comprehends four to five texts of varying lengths correctly,89,84

Benchmark,,0 - 13,14 - 31,32 - 52,53 and above
Percentage of Students meeting the standard,State/UT,43,38,9,10.0
,National,21,43,21,15.0
Percentage of Girls meeting the standard,State/UT,36,38,10,16.0
,National,20,43,22,15.0
Percentage of Boys meeting the standard,State/UT,54,39,5,2.0
,National,22,43,19,16
