Descriptor,State Average Performance (%),National Average Performance (%)
Listens and Comprehends four to five texts of varying lengths correctly,79,79

Descriptor,State Average Performance (%),National Average Performance (%)
Correctly identifies at least one initial sound in grade level words,93,93
Correctly identifies at least one final sound in grade level words,87,87
Not able to identify the initial sound and final sound in any of the given grade level words,7,7

Descriptor,State Average Performance (%),National Average Performance (%)
Reads 80-100 letters correctly and fluently,72,72
Reads 50-79 letters correctly/reads some letters with self correction,10,10
Reads 10-49 letters correctly/hesitantly  with self correction,8,8
Reads less than 10 letters correctly/hesitantly  with self correction,10,10

Descriptor,State Average Performance (%),National Average Performance (%)
Reads 80% and more words  correctly and fluently,63,63
Reads 50% to Less than 80% words correctly (with self correction wherever needed),9,10
Reads 10% to less than 50% words correctly (with self correction wherever needed),10,10
Reads less than 10% words correctly (with self correction wherever needed),18,17

Descriptor,State Average Performance (%),National Average Performance (%)
Reads 80% and more words  correctly and fluently,58,58
Reads 50%  to Less than 80% words correctly (with self correction wherever needed),12,12
Reads 10% to less than 50% words correctly (with self correction wherever needed),10,10
Reads less than 10% words correctly (with self correction wherever needed),20,19

Descriptor,State Average Performance (%),National Average Performance (%)
Reads and Comprehends four to five texts of varying lengths correctly,85,85

Benchmark,,0 - 8,9 - 29,30 - 50,51 and above
Percentage of Students meeting the standard,State/UT,33,33,17,17.0
,National,33,33,17,17.0
Percentage of Girls meeting the standard,State/UT,35,32,15,18.0
,National,35,32,16,17.0
Percentage of Boys meeting the standard,State/UT,31,34,18,17.0
,National,31,35,17,17
