Descriptor,State Average Performance (%),National Average Performance (%)
Listens and Comprehends four to five texts of varying lengths correctly,87,92

Descriptor,State Average Performance (%),National Average Performance (%)
Correctly identifies at least one initial sound in grade level words,92,98
Correctly identifies at least one final sound in grade level words,87,96
Not able to identify the initial sound and final sound in any of the given grade level words,7,2

Descriptor,State Average Performance (%),National Average Performance (%)
Reads 80-100 letters correctly and fluently,78,95
Reads 50-79 letters correctly/reads some letters with self correction,10,3
Reads 10-49 letters correctly/hesitantly  with self correction,5,1
Reads less than 10 letters correctly/hesitantly  with self correction,7,2

Descriptor,State Average Performance (%),National Average Performance (%)
Reads 80% and more words  correctly and fluently,62,89
Reads 50% to Less than 80% words correctly (with self correction wherever needed),15,6
Reads 10% to less than 50% words correctly (with self correction wherever needed),9,2
Reads less than 10% words correctly (with self correction wherever needed),14,3

Descriptor,State Average Performance (%),National Average Performance (%)
Reads 80% and more words  correctly and fluently,53,81
Reads 50%  to Less than 80% words correctly (with self correction wherever needed),19,12
Reads 10% to less than 50% words correctly (with self correction wherever needed),11,4
Reads less than 10% words correctly (with self correction wherever needed),18,4

Descriptor,State Average Performance (%),National Average Performance (%)
Reads and Comprehends four to five texts of varying lengths correctly,83,91

Benchmark,,0 - 14,15 - 38,39 - 55,56 and above
Percentage of Students meeting the standard,State/UT,36,50,10,4.0
,National,10,35,16,39.0
Percentage of Girls meeting the standard,State/UT,39,48,8,5.0
,National,10,33,17,40.0
Percentage of Boys meeting the standard,State/UT,33,52,12,3.0
,National,10,36,15,39
