Descriptor,State Average Performance (%),National Average Performance (%)
Listens and Comprehends four to five texts of varying lengths correctly,78,82

Descriptor,State Average Performance (%),National Average Performance (%)
Correctly identifies at least one initial sound in grade level words,98,98
Correctly identifies at least one final sound in grade level words,98,95
Not able to identify the initial sound and final sound in any of the given grade level words,1,2

Descriptor,State Average Performance (%),National Average Performance (%)
Reads 80-100 letters correctly and fluently,87,85
Reads 50-79 letters correctly/reads some letters with self correction,10,7
Reads 10-49 letters correctly/hesitantly  with self correction,2,4
Reads less than 10 letters correctly/hesitantly  with self correction,2,3

Descriptor,State Average Performance (%),National Average Performance (%)
Reads 80% and more words  correctly and fluently,52,74
Reads 50% to Less than 80% words correctly (with self correction wherever needed),18,13
Reads 10% to less than 50% words correctly (with self correction wherever needed),27,9
Reads less than 10% words correctly (with self correction wherever needed),3,4

Descriptor,State Average Performance (%),National Average Performance (%)
Reads 80% and more words  correctly and fluently,47,72
Reads 50%  to Less than 80% words correctly (with self correction wherever needed),22,14
Reads 10% to less than 50% words correctly (with self correction wherever needed),23,10
Reads less than 10% words correctly (with self correction wherever needed),8,5

Descriptor,State Average Performance (%),National Average Performance (%)
Reads and Comprehends four to five texts of varying lengths correctly,92,83

Benchmark,,0 - 11,12 - 31,32 - 50,51 and above
Percentage of Students meeting the standard,State/UT,37,20,31,12.0
,National,13,31,28,28.0
Percentage of Girls meeting the standard,State/UT,16,20,48,16.0
,National,9,29,30,32.0
Percentage of Boys meeting the standard,State/UT,52,20,18,10.0
,National,16,33,25,26
