Descriptor,State Average Performance (%),National Average Performance (%)
Listens and Comprehends four to five texts of varying lengths correctly,65,65

Descriptor,State Average Performance (%),National Average Performance (%)
Correctly identifies at least one initial sound in grade level words,94,94
Correctly identifies at least one final sound in grade level words,90,90
Not able to identify the initial sound and final sound in any of the given grade level words,6,6

Descriptor,State Average Performance (%),National Average Performance (%)
Reads 80-100 letters correctly and fluently,60,60
Reads 50-79 letters correctly/reads some letters with self correction,15,15
Reads 10-49 letters correctly/hesitantly  with self correction,11,11
Reads less than 10 letters correctly/hesitantly  with self correction,15,15

Descriptor,State Average Performance (%),National Average Performance (%)
Reads 80% and more words  correctly and fluently,49,49
Reads 50% to Less than 80% words correctly (with self correction wherever needed),15,15
Reads 10% to less than 50% words correctly (with self correction wherever needed),15,15
Reads less than 10% words correctly (with self correction wherever needed),21,21

Descriptor,State Average Performance (%),National Average Performance (%)
Reads 80% and more words  correctly and fluently,41,41
Reads 50%  to Less than 80% words correctly (with self correction wherever needed),18,18
Reads 10% to less than 50% words correctly (with self correction wherever needed),15,15
Reads less than 10% words correctly (with self correction wherever needed),26,26

Descriptor,State Average Performance (%),National Average Performance (%)
Reads and Comprehends four to five texts of varying lengths correctly,76,76

Benchmark,,0 - 12,13 - 29,30 - 49,50 and above
Percentage of Students meeting the standard,State/UT,37,22,22,19.0
,National,37,22,22,19.0
Percentage of Girls meeting the standard,State/UT,32,25,20,23.0
,National,32,25,20,23.0
Percentage of Boys meeting the standard,State/UT,42,19,24,15.0
,National,42,19,24,15
