Descriptor,State Average Performance (%),National Average Performance (%)
Listens and Comprehends four to five texts of varying lengths correctly,77,78

Descriptor,State Average Performance (%),National Average Performance (%)
Correctly identifies at least one initial sound in grade level words,96,96
Correctly identifies at least one final sound in grade level words,92,92
Not able to identify the initial sound and final sound in any of the given grade level words,3,3

Descriptor,State Average Performance (%),National Average Performance (%)
Reads 80-100 letters correctly and fluently,73,73
Reads 50-79 letters correctly/reads some letters with self correction,13,13
Reads 10-49 letters correctly/hesitantly  with self correction,8,8
Reads less than 10 letters correctly/hesitantly  with self correction,7,6

Descriptor,State Average Performance (%),National Average Performance (%)
Reads 80% and more words  correctly and fluently,71,70
Reads 50% to Less than 80% words correctly (with self correction wherever needed),10,11
Reads 10% to less than 50% words correctly (with self correction wherever needed),6,6
Reads less than 10% words correctly (with self correction wherever needed),13,12

Descriptor,State Average Performance (%),National Average Performance (%)
Reads 80% and more words  correctly and fluently,66,65
Reads 50%  to Less than 80% words correctly (with self correction wherever needed),14,16
Reads 10% to less than 50% words correctly (with self correction wherever needed),10,10
Reads less than 10% words correctly (with self correction wherever needed),10,10

Descriptor,State Average Performance (%),National Average Performance (%)
Reads and Comprehends four to five texts of varying lengths correctly,78,77

Benchmark,,0 - 11,12 - 32,33 - 52,53 and above
Percentage of Students meeting the standard,State/UT,17,33,27,23.0
,National,16,34,28,22.0
Percentage of Girls meeting the standard,State/UT,16,31,27,26.0
,National,15,33,27,25.0
Percentage of Boys meeting the standard,State/UT,18,35,27,20.0
,National,18,36,27,19
