Descriptor,State Average Performance (%),National Average Performance (%)
Listens and Comprehends four to five texts of varying lengths correctly,77,85

Descriptor,State Average Performance (%),National Average Performance (%)
Correctly identifies at least one initial sound in grade level words,85,95
Correctly identifies at least one final sound in grade level words,78,93
Not able to identify the initial sound and final sound in any of the given grade level words,14,4

Descriptor,State Average Performance (%),National Average Performance (%)
Reads 80-100 letters correctly and fluently,88,95
Reads 50-79 letters correctly/reads some letters with self correction,5,3
Reads 10-49 letters correctly/hesitantly  with self correction,4,2
Reads less than 10 letters correctly/hesitantly  with self correction,3,1

Descriptor,State Average Performance (%),National Average Performance (%)
Reads 80% and more words  correctly and fluently,57,73
Reads 50% to Less than 80% words correctly (with self correction wherever needed),12,13
Reads 10% to less than 50% words correctly (with self correction wherever needed),12,8
Reads less than 10% words correctly (with self correction wherever needed),19,7

Descriptor,State Average Performance (%),National Average Performance (%)
Reads 80% and more words  correctly and fluently,45,62
Reads 50%  to Less than 80% words correctly (with self correction wherever needed),19,18
Reads 10% to less than 50% words correctly (with self correction wherever needed),13,9
Reads less than 10% words correctly (with self correction wherever needed),23,11

Descriptor,State Average Performance (%),National Average Performance (%)
Reads and Comprehends four to five texts of varying lengths correctly,78,87

Benchmark,,0 - 14,15 - 34,35 - 53,54 and above
Percentage of Students meeting the standard,State/UT,32,22,15,31.0
,National,17,29,21,33.0
Percentage of Girls meeting the standard,State/UT,35,25,13,27.0
,National,17,29,21,33.0
Percentage of Boys meeting the standard,State/UT,30,19,16,35.0
,National,16,30,21,33
