Descriptor,State Average Performance (%),National Average Performance (%)
Listens and Comprehends four to five texts of varying lengths correctly,97,84

Descriptor,State Average Performance (%),National Average Performance (%)
Correctly identifies at least one initial sound in grade level words,99,93
Correctly identifies at least one final sound in grade level words,95,84
Not able to identify the initial sound and final sound in any of the given grade level words,1,6

Descriptor,State Average Performance (%),National Average Performance (%)
Reads 80-100 letters correctly and fluently,46,46
Reads 50-79 letters correctly/reads some letters with self correction,23,16
Reads 10-49 letters correctly/hesitantly  with self correction,23,22
Reads less than 10 letters correctly/hesitantly  with self correction,8,16

Descriptor,State Average Performance (%),National Average Performance (%)
Reads 80% and more words  correctly and fluently,45,38
Reads 50% to Less than 80% words correctly (with self correction wherever needed),29,14
Reads 10% to less than 50% words correctly (with self correction wherever needed),9,21
Reads less than 10% words correctly (with self correction wherever needed),16,27

Descriptor,State Average Performance (%),National Average Performance (%)
Reads 80% and more words  correctly and fluently,37,24
Reads 50%  to Less than 80% words correctly (with self correction wherever needed),6,16
Reads 10% to less than 50% words correctly (with self correction wherever needed),29,24
Reads less than 10% words correctly (with self correction wherever needed),27,35

Descriptor,State Average Performance (%),National Average Performance (%)
Reads and Comprehends four to five texts of varying lengths correctly,94,78

Benchmark,,0 - 8,9 - 27,28 - 49,50 and above
Percentage of Students meeting the standard,State/UT,53,25,10,12.0
,National,48,32,12,8.0
Percentage of Girls meeting the standard,State/UT,53,30,5,12.0
,National,45,33,13,9.0
Percentage of Boys meeting the standard,State/UT,53,22,13,12.0
,National,52,31,10,7
