Descriptor,State Average Performance (%),National Average Performance (%)
Listens and Comprehends four to five texts of varying lengths correctly,78,83

Descriptor,State Average Performance (%),National Average Performance (%)
Correctly identifies at least one initial sound in grade level words,99,96
Correctly identifies at least one final sound in grade level words,95,95
Not able to identify the initial sound and final sound in any of the given grade level words,1,3

Descriptor,State Average Performance (%),National Average Performance (%)
Reads 80-100 letters correctly and fluently,55,58
Reads 50-79 letters correctly/reads some letters with self correction,27,22
Reads 10-49 letters correctly/hesitantly  with self correction,17,17
Reads less than 10 letters correctly/hesitantly  with self correction,2,3

Descriptor,State Average Performance (%),National Average Performance (%)
Reads 80% and more words  correctly and fluently,53,52
Reads 50% to Less than 80% words correctly (with self correction wherever needed),29,24
Reads 10% to less than 50% words correctly (with self correction wherever needed),14,16
Reads less than 10% words correctly (with self correction wherever needed),5,7

Descriptor,State Average Performance (%),National Average Performance (%)
Reads 80% and more words  correctly and fluently,70,64
Reads 50%  to Less than 80% words correctly (with self correction wherever needed),20,21
Reads 10% to less than 50% words correctly (with self correction wherever needed),7,11
Reads less than 10% words correctly (with self correction wherever needed),3,4

Descriptor,State Average Performance (%),National Average Performance (%)
Reads and Comprehends four to five texts of varying lengths correctly,77,88

Benchmark,,0 - 13,14 - 29,30 - 48,49 and above
Percentage of Students meeting the standard,State/UT,12,35,41,12.0
,National,18,38,28,16.0
Percentage of Girls meeting the standard,State/UT,8,33,45,14.0
,National,17,40,28,15.0
Percentage of Boys meeting the standard,State/UT,15,38,38,9.0
,National,19,37,27,17
