Descriptor,State Average Performance (%),National Average Performance (%)
Listens and Comprehends four to five texts of varying lengths correctly,82,82

Descriptor,State Average Performance (%),National Average Performance (%)
Correctly identifies at least one initial sound in grade level words,98,98
Correctly identifies at least one final sound in grade level words,89,89
Not able to identify the initial sound and final sound in any of the given grade level words,2,2

Descriptor,State Average Performance (%),National Average Performance (%)
Reads 80-100 letters correctly and fluently,96,96
Reads 50-79 letters correctly/reads some letters with self correction,3,3
Reads 10-49 letters correctly/hesitantly  with self correction,0,0
Reads less than 10 letters correctly/hesitantly  with self correction,0,0

Descriptor,State Average Performance (%),National Average Performance (%)
Reads 80% and more words  correctly and fluently,82,82
Reads 50% to Less than 80% words correctly (with self correction wherever needed),14,14
Reads 10% to less than 50% words correctly (with self correction wherever needed),3,3
Reads less than 10% words correctly (with self correction wherever needed),1,1

Descriptor,State Average Performance (%),National Average Performance (%)
Reads 80% and more words  correctly and fluently,65,65
Reads 50%  to Less than 80% words correctly (with self correction wherever needed),24,24
Reads 10% to less than 50% words correctly (with self correction wherever needed),9,9
Reads less than 10% words correctly (with self correction wherever needed),2,2

Descriptor,State Average Performance (%),National Average Performance (%)
Reads and Comprehends four to five texts of varying lengths correctly,92,92

Benchmark,,0 - 24,25 - 44,45 - 62,63 and above
Percentage of Students meeting the standard,State/UT,21,43,24,12.0
,National,21,43,24,12.0
Percentage of Girls meeting the standard,State/UT,22,41,23,14.0
,National,22,41,23,14.0
Percentage of Boys meeting the standard,State/UT,20,44,26,10.0
,National,20,44,26,10
