Descriptor,State Average Performance (%),National Average Performance (%)
Listens and Comprehends four to five texts of varying lengths correctly,92,92

Descriptor,State Average Performance (%),National Average Performance (%)
Correctly identifies at least one initial sound in grade level words,96,98
Correctly identifies at least one final sound in grade level words,96,96
Not able to identify the initial sound and final sound in any of the given grade level words,3,2

Descriptor,State Average Performance (%),National Average Performance (%)
Reads 80-100 letters correctly and fluently,95,95
Reads 50-79 letters correctly/reads some letters with self correction,3,3
Reads 10-49 letters correctly/hesitantly  with self correction,0,1
Reads less than 10 letters correctly/hesitantly  with self correction,1,2

Descriptor,State Average Performance (%),National Average Performance (%)
Reads 80% and more words  correctly and fluently,89,89
Reads 50% to Less than 80% words correctly (with self correction wherever needed),8,6
Reads 10% to less than 50% words correctly (with self correction wherever needed),1,2
Reads less than 10% words correctly (with self correction wherever needed),2,3

Descriptor,State Average Performance (%),National Average Performance (%)
Reads 80% and more words  correctly and fluently,84,81
Reads 50%  to Less than 80% words correctly (with self correction wherever needed),10,12
Reads 10% to less than 50% words correctly (with self correction wherever needed),4,4
Reads less than 10% words correctly (with self correction wherever needed),2,4

Descriptor,State Average Performance (%),National Average Performance (%)
Reads and Comprehends four to five texts of varying lengths correctly,92,91

Benchmark,,0 - 14,15 - 38,39 - 55,56 and above
Percentage of Students meeting the standard,State/UT,7,35,20,38.0
,National,10,35,16,39.0
Percentage of Girls meeting the standard,State/UT,8,32,17,43.0
,National,10,33,17,40.0
Percentage of Boys meeting the standard,State/UT,6,39,24,31.0
,National,10,36,15,39
