Descriptor,State Average Performance (%),National Average Performance (%)
Reads numbers up to 9999,53,64
Reads numbers up to 999,30,24
Reads numbers up to 99,16,11
Does not respond,0,2

Descriptor,State Average Performance (%),National Average Performance (%)
Discriminates numbers up to 9999,74,67
Discriminates numbers up to 999,17,23
Discriminates numbers up to 99,8,8
Discriminates numbers only up to 9,1,2

Descriptor,State Average Performance (%),National Average Performance (%)
Adds numbers upto 999,42,53
Adds numbers upto 99,63,71
Adds numbers upto 9,95,92
Subtracts numbers upto 999,33,40
Subtracts  numbers upto 99,53,62
Subtracts  numbers upto 9,85,81

Descriptor,State Average Performance (%),National Average Performance (%)
Identifies the application of operation of addition in real life situations and provides the correct answer for questions based on addition only,54,54
Identifies the application of operation of subtraction in real life situations and provides the correct answer for questions based on subtraction only,44,42
Identifies the application of number operations in real life situations and provides the correct answers for 80% and above questions,53,52

Descriptor,State Average Performance (%),National Average Performance (%)
Understands and applies correct multiplication facts in 80%  and above questions,70,71
Understands and applies correct multiplication facts in 50% and less than 80% questions,14,16
Understands and applies correct multiplication facts in less than 50% questions,5,6
Does not respond,12,8

Descriptor,State Average Performance (%),National Average Performance (%)
Understands and applies correct Division facts in 80%  and above questions,44,49
Understands and applies correct Division facts in 50% and less than 80% questions,30,31
Understands and applies correct Division facts in less than 50% questions,6,6
Does not respond,20,14

Descriptor,State Average Performance (%),National Average Performance (%)
"Identifies the Month, Date and Day on the Calender",72,62
"Identifies the month, date and day with help",14,20
"Make mistakes in identifying the Month, date and day",5,6
Dose not respond,10,12

Descriptor,State Average Performance (%),National Average Performance (%)
Can compare and estimate the volume of different containers,45,46
Can either compare or estimate the volume of different containers,47,47
Attempts but makes mistakes in estimating and comparing the volume,3,3
Dose not respond,6,4

Descriptor,State Average Performance (%),National Average Performance (%)
Tells the time correctly,57,52
Tells the time correctly with the help of hint,38,36
Dose not respond,5,12

Descriptor,State Average Performance (%),National Average Performance (%)
Applies the understanding of measurement of length and calculates the length of  the object,60,62
Applies the understanding of measurement of length but miscalculates the length of the object when the object is not aligned with the 0 of the scale,34,27
Makes effort but not able to calculate the length of the object,5,6
Dose not respond,1,4

Descriptor,State Average Performance (%),National Average Performance (%)
correctly identifies one-half,68,70
correctly identifies one-fourth,52,47
correctly identifies three-fourth,64,61
"correctly identifies all the fractions (one-half, one-fourth, three-fourth)",49,42
correctly represents one-half,66,68
correctly represents one-fourth,57,55
correctly represents three-fourth,51,46
"correctly represents  all the fractions (one-half, one-fourth, three-fourth)",45,40

Descriptor,State Average Performance (%),National Average Performance (%)
Correctly identifies and completes patterns with shapes and  numbers in 80% and above questions,63,61
Correctly identifies and completes patterns with shapes and  numbers in 50% to less than 80% questions,27,28
Correctly identifies and completes patterns with shapes and  numbers in less than 50% questions,8,8
Dose not respond,2,2

Descriptor,State Average Performance (%),National Average Performance (%)
Answers 80% and above questions correctly,87,70
Answers 50% - less than 80% questions correctly,11,23
Answers less than 50% questions correctly,1,5
Answers less than 50% questions correctly,1,2

Benchmark,,0 - 42,43 - 69,70 - 83,84 and above
Percentage of Students meeting the standard,State/UT,9,39,40,12.0
,National,11,37,42,10.0
Percentage of Girls meeting the standard,State/UT,11,39,40,10.0
,National,11,38,41,10.0
Percentage of Boys meeting the standard,State/UT,7,40,40,13.0
,National,11,36,43,10,
