Descriptor,State Average Performance (%),National Average Performance (%)
Reads numbers up to 9999,60,64
Reads numbers up to 999,27,24
Reads numbers up to 99,13,11
Does not respond,1,2

Descriptor,State Average Performance (%),National Average Performance (%)
Discriminates numbers up to 9999,68,67
Discriminates numbers up to 999,24,23
Discriminates numbers up to 99,8,8
Discriminates numbers only up to 9,1,2

Descriptor,State Average Performance (%),National Average Performance (%)
Adds numbers upto 999,53,53
Adds numbers upto 99,69,71
Adds numbers upto 9,87,92
Subtracts numbers upto 999,38,40
Subtracts  numbers upto 99,59,62
Subtracts  numbers upto 9,75,81

Descriptor,State Average Performance (%),National Average Performance (%)
Identifies the application of operation of addition in real life situations and provides the correct answer for questions based on addition only,58,54
Identifies the application of operation of subtraction in real life situations and provides the correct answer for questions based on subtraction only,42,42
Identifies the application of number operations in real life situations and provides the correct answers for 80% and above questions,52,52

Descriptor,State Average Performance (%),National Average Performance (%)
Understands and applies correct multiplication facts in 80%  and above questions,75,71
Understands and applies correct multiplication facts in 50% and less than 80% questions,10,16
Understands and applies correct multiplication facts in less than 50% questions,9,6
Does not respond,6,8

Descriptor,State Average Performance (%),National Average Performance (%)
Understands and applies correct Division facts in 80%  and above questions,70,49
Understands and applies correct Division facts in 50% and less than 80% questions,23,31
Understands and applies correct Division facts in less than 50% questions,3,6
Does not respond,4,14

Descriptor,State Average Performance (%),National Average Performance (%)
"Identifies the Month, Date and Day on the Calender",65,62
"Identifies the month, date and day with help",14,20
"Make mistakes in identifying the Month, date and day",6,6
Dose not respond,15,12

Descriptor,State Average Performance (%),National Average Performance (%)
Can compare and estimate the volume of different containers,55,46
Can either compare or estimate the volume of different containers,43,47
Attempts but makes mistakes in estimating and comparing the volume,1,3
Dose not respond,1,4

Descriptor,State Average Performance (%),National Average Performance (%)
Tells the time correctly,45,52
Tells the time correctly with the help of hint,44,36
Dose not respond,12,12

Descriptor,State Average Performance (%),National Average Performance (%)
Applies the understanding of measurement of length and calculates the length of  the object,70,62
Applies the understanding of measurement of length but miscalculates the length of the object when the object is not aligned with the 0 of the scale,24,27
Makes effort but not able to calculate the length of the object,4,6
Dose not respond,1,4

Descriptor,State Average Performance (%),National Average Performance (%)
correctly identifies one-half,82,70
correctly identifies one-fourth,57,47
correctly identifies three-fourth,76,61
"correctly identifies all the fractions (one-half, one-fourth, three-fourth)",54,42
correctly represents one-half,78,68
correctly represents one-fourth,74,55
correctly represents three-fourth,57,46
"correctly represents  all the fractions (one-half, one-fourth, three-fourth)",52,40

Descriptor,State Average Performance (%),National Average Performance (%)
Correctly identifies and completes patterns with shapes and  numbers in 80% and above questions,71,61
Correctly identifies and completes patterns with shapes and  numbers in 50% to less than 80% questions,23,28
Correctly identifies and completes patterns with shapes and  numbers in less than 50% questions,5,8
Dose not respond,1,2

Descriptor,State Average Performance (%),National Average Performance (%)
Answers 80% and above questions correctly,79,70
Answers 50% - less than 80% questions correctly,18,23
Answers less than 50% questions correctly,2,5
Answers less than 50% questions correctly,0,2

Benchmark,,0 - 42,43 - 69,70 - 83,84 and above
Percentage of Students meeting the standard,State/UT,9,39,38,14.0
,National,11,37,42,10.0
Percentage of Girls meeting the standard,State/UT,9,38,37,16.0
,National,11,38,41,10.0
Percentage of Boys meeting the standard,State/UT,9,39,40,12.0
,National,11,36,43,10,
