Descriptor,State Average Performance (%),National Average Performance (%)
Reads numbers up to 9999,60,64
Reads numbers up to 999,26,24
Reads numbers up to 99,13,11
Does not respond,1,2

Descriptor,State Average Performance (%),National Average Performance (%)
Discriminates numbers up to 9999,71,67
Discriminates numbers up to 999,21,23
Discriminates numbers up to 99,6,8
Discriminates numbers only up to 9,2,2

Descriptor,State Average Performance (%),National Average Performance (%)
Adds numbers upto 999,36,53
Adds numbers upto 99,59,71
Adds numbers upto 9,88,92
Subtracts numbers upto 999,20,40
Subtracts  numbers upto 99,46,62
Subtracts  numbers upto 9,68,81

Descriptor,State Average Performance (%),National Average Performance (%)
Identifies the application of operation of addition in real life situations and provides the correct answer for questions based on addition only,39,54
Identifies the application of operation of subtraction in real life situations and provides the correct answer for questions based on subtraction only,28,42
Identifies the application of number operations in real life situations and provides the correct answers for 80% and above questions,36,52

Descriptor,State Average Performance (%),National Average Performance (%)
Understands and applies correct multiplication facts in 80%  and above questions,56,71
Understands and applies correct multiplication facts in 50% and less than 80% questions,14,16
Understands and applies correct multiplication facts in less than 50% questions,20,6
Does not respond,9,8

Descriptor,State Average Performance (%),National Average Performance (%)
Understands and applies correct Division facts in 80%  and above questions,38,49
Understands and applies correct Division facts in 50% and less than 80% questions,33,31
Understands and applies correct Division facts in less than 50% questions,9,6
Does not respond,21,14

Descriptor,State Average Performance (%),National Average Performance (%)
"Identifies the Month, Date and Day on the Calender",68,62
"Identifies the month, date and day with help",21,20
"Make mistakes in identifying the Month, date and day",6,6
Dose not respond,6,12

Descriptor,State Average Performance (%),National Average Performance (%)
Can compare and estimate the volume of different containers,30,46
Can either compare or estimate the volume of different containers,65,47
Attempts but makes mistakes in estimating and comparing the volume,5,3
Dose not respond,0,4

Descriptor,State Average Performance (%),National Average Performance (%)
Tells the time correctly,43,52
Tells the time correctly with the help of hint,41,36
Dose not respond,16,12

Descriptor,State Average Performance (%),National Average Performance (%)
Applies the understanding of measurement of length and calculates the length of  the object,50,62
Applies the understanding of measurement of length but miscalculates the length of the object when the object is not aligned with the 0 of the scale,35,27
Makes effort but not able to calculate the length of the object,11,6
Dose not respond,4,4

Descriptor,State Average Performance (%),National Average Performance (%)
correctly identifies one-half,49,70
correctly identifies one-fourth,28,47
correctly identifies three-fourth,39,61
"correctly identifies all the fractions (one-half, one-fourth, three-fourth)",26,42
correctly represents one-half,50,68
correctly represents one-fourth,31,55
correctly represents three-fourth,29,46
"correctly represents  all the fractions (one-half, one-fourth, three-fourth)",24,40

Descriptor,State Average Performance (%),National Average Performance (%)
Correctly identifies and completes patterns with shapes and  numbers in 80% and above questions,51,61
Correctly identifies and completes patterns with shapes and  numbers in 50% to less than 80% questions,35,28
Correctly identifies and completes patterns with shapes and  numbers in less than 50% questions,11,8
Dose not respond,2,2

Descriptor,State Average Performance (%),National Average Performance (%)
Answers 80% and above questions correctly,64,70
Answers 50% - less than 80% questions correctly,27,23
Answers less than 50% questions correctly,6,5
Answers less than 50% questions correctly,2,2

Benchmark,,0 - 42,43 - 69,70 - 83,84 and above
Percentage of Students meeting the standard,State/UT,13,49,36,2.0
,National,11,37,42,10.0
Percentage of Girls meeting the standard,State/UT,16,46,36,2.0
,National,11,38,41,10.0
Percentage of Boys meeting the standard,State/UT,11,53,33,3.0
,National,11,36,43,10,
